"SQINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3","2020:Q4","2021:Q1","2021:Q2"
"06000","California","1","Personal income (millions of dollars, seasonally adjusted)",1582060.4,1607697.2,1613533.6,1652871.8,1700226.8,1706267.6,1725332.9,1729080.6,1786135.4,1808358.6,1808445.3,1905728.1,1817215.5,1848098.9,1867393.2,1896095.8,1923713.3,1960824.8,2003994.1,2034415.2,2084189.7,2117632.1,2138781.8,2161117.7,2194270.3,2204929.7,2226396.9,2248234.2,2288241.5,2306107.8,2325376.1,2354852.3,2387750.2,2419125.1,2449911.3,2470501.2,2515856.4,2533947.7,2549323.3,2577812.5,2631478.1,2801274.0,2851416.5,2769079.4,3052950.7,2919391.2
"06000","California","2","Population (midperiod, persons) 1/",37210595,37286381,37365281,37451605,37525307,37597037,37680174,37763416,37836357,37906496,37991364,38078439,38147665,38215641,38300046,38391267,38469171,38545506,38633979,38722364,38793917,38865317,38940551,39008270,39062908,39118183,39178822,39234962,39275811,39313978,39356311,39389401,39406342,39424643,39443390,39450951,39443263,39436971,39440607,39441890,39427174,39392248,39363261,39349300,39320927,39289961
"06000","California","3","Per capita personal income (dollars) 2/",42516,43118,43183,44134,45309,45383,45789,45787,47207,47706,47601,50047,47636,48360,48757,49389,50007,50870,51871,52539,53725,54486,54924,55402,56173,56366,56827,57302,58261,58659,59085,59784,60593,61361,62112,62622,63784,64253,64637,65357,66743,71112,72439,70372,77642,74304
"08000","Colorado","1","Personal income (millions of dollars, seasonally adjusted)",200491.0,203437.7,207282.3,212253.5,219877.0,222351.3,225470.3,226272.0,232093.1,234958.8,234350.9,245633.6,243637.9,247909.1,251338.8,255164.9,263910.9,269442.8,273541.6,278745.3,282504.1,284908.1,285414.5,286520.6,286085.9,287848.7,290572.9,294184.4,302294.4,306813.6,311447.6,318075.0,324777.9,329428.8,335094.0,338520.8,347555.4,349214.1,350561.7,354229.2,360736.0,381070.6,368151.9,371609.9,410584.9,390046.3
"08000","Colorado","2","Population (midperiod, persons) 1/",5020530,5038340,5057629,5076942,5094559,5112432,5131488,5150072,5167340,5184592,5204311,5224650,5242534,5260921,5281593,5302999,5322563,5342297,5366342,5392848,5416935,5441500,5466231,5489361,5510636,5532392,5553813,5573234,5590505,5607931,5628134,5648978,5667513,5686872,5705573,5721755,5735770,5750513,5765979,5780371,5792330,5802805,5814775,5828171,5838464,5849598
"08000","Colorado","3","Per capita personal income (dollars) 2/",39934,40378,40984,41807,43159,43492,43939,43936,44915,45319,45030,47014,46473,47123,47588,48117,49583,50436,50974,51688,52152,52358,52214,52196,51915,52030,52320,52785,54073,54711,55338,56307,57305,57928,58731,59164,60594,60727,60798,61281,62278,65670,63313,63761,70324,66679
"09000","Connecticut","1","Personal income (millions of dollars, seasonally adjusted)",216975.9,221647.4,223074.7,222535.8,224075.7,227847.0,228669.6,227036.1,228651.8,231156.5,228599.1,236277.0,224780.3,225597.0,226493.0,227833.1,231637.3,235224.4,238584.5,241580.1,240932.5,242413.0,243587.2,245725.7,246104.6,246338.7,248533.6,250132.7,248946.0,251451.1,254106.9,257978.8,259481.5,262862.7,266286.2,268422.0,268835.0,269468.3,270045.8,272782.0,271831.6,285208.4,280636.9,280772.6,303286.2,290146.7
"09000","Connecticut","2","Population (midperiod, persons) 1/",3572541,3576614,3580984,3583954,3585629,3587381,3589931,3592076,3593243,3594356,3596017,3596976,3596110,3595567,3596230,3596926,3596282,3595694,3595527,3594551,3591851,3589395,3587986,3586373,3583476,3580783,3579838,3579440,3577592,3575730,3575813,3576304,3575169,3574474,3574066,3572588,3569578,3566936,3565941,3565302,3562853,3559122,3555590,3552301,3548297,3544930
"09000","Connecticut","3","Per capita personal income (dollars) 2/",60734,61971,62294,62092,62493,63513,63697,63205,63634,64311,63570,65688,62507,62743,62981,63341,64410,65418,66356,67207,67078,67536,67890,68516,68678,68795,69426,69880,69585,70322,71063,72136,72579,73539,74505,75134,75313,75546,75729,76510,76296,80134,78928,79040,85474,81848
"10000","Delaware","1","Personal income (millions of dollars, seasonally adjusted)",35775.8,36458.9,37320.5,37796.0,39467.0,39772.9,40182.8,40277.3,39794.7,40299.7,40098.2,41380.6,40525.3,41058.3,41205.8,41611.9,42202.7,42781.1,43327.8,43814.9,44586.8,45287.2,45273.3,45717.2,45836.7,46173.0,46626.5,47143.0,47523.2,48169.0,48879.0,49711.6,50212.9,50970.5,51752.7,52305.7,51952.9,52343.5,52663.8,53190.2,53837.3,57113.7,55086.5,55392.0,61364.8,57229.8
